2018rank,City,State,2018estimate,2010Census,Change,2016 land area (sq mi),2016 land area (km2),2016 population density (/sq mi),2016 population density (/km2),Location,Longitude,Latitude,wiki_link,official_website
52,Cleveland,Ohio,383793,396815,−3.28%,77.7,201.2 ,4965,1917,﻿41.4785°N 81.6794°W,41°28′43″N,81°40′46″W﻿,https://en.wikipedia.org/wiki/Cleveland,http://www.cleveland-oh.gov
53,Bakersfield,California,383579,347483,+10.39%,148.8,385.4 ,2529,976,﻿35.3212°N 119.0183°W,35°19′16″N,119°01′06″W﻿,"https://en.wikipedia.org/wiki/Bakersfield,_California",http://www.bakersfieldcity.us/
54,Aurora,Colorado,374114,325078,+15.08%,153.5,397.6 ,2356,910,﻿39.6880°N 104.6897°W,39°41′17″N,104°41′23″W﻿,"https://en.wikipedia.org/wiki/Aurora,_Illinois",http://www.aurora-il.org
55,Anaheim,California,352005,336265,+4.68%,50.0,129.5 ,7021,2711,﻿33.8555°N 117.7601°W,33°51′20″N,117°45′36″W﻿,"https://en.wikipedia.org/wiki/Anaheim,_California",http://www.anaheim.net
56,Honolulu,Hawaii,347397,337256,+3.01%,60.5,156.7 ,5815,2245,﻿21.3243°N 157.8476°W,21°19′27″N,157°50′51″W﻿,https://en.wikipedia.org/wiki/Honolulu,http://www.honolulu.gov/
57,Santa Ana,California,332725,324528,+2.53%,27.1,70.2 ,12333,4762,﻿33.7363°N 117.8830°W,33°44′11″N,117°52′59″W﻿,"https://en.wikipedia.org/wiki/Santa_Ana,_California",http://www.santa-ana.org
58,Riverside,California,330063,303871,+8.62%,81.2,210.3 ,3999,1544,﻿33.9381°N 117.3932°W,33°56′17″N,117°23′36″W﻿,"https://en.wikipedia.org/wiki/Riverside,_California",http://riversideca.gov
59,Corpus Christi,Texas,326554,305215,+6.99%,174.6,452.2 ,1866,720,﻿27.7543°N 97.1734°W,27°45′15″N,97°10′24″W﻿,"https://en.wikipedia.org/wiki/Corpus_Christi,_Texas",http://www.cctexas.com
60,Lexington,Kentucky,323780,295803,+9.46%,283.6,734.5 ,1123,434,﻿38.0407°N 84.4583°W,38°02′27″N,84°27′30″W﻿,"https://en.wikipedia.org/wiki/Lexington,_Kentucky",http://www.lexingtonky.gov
61,Stockton,California,311178,291707,+6.67%,61.7,159.8 ,4977,1922,﻿37.9763°N 121.3133°W,37°58′35″N,121°18′48″W﻿,"https://en.wikipedia.org/wiki/Stockton,_California",http://www.stocktongov.com
62,Henderson,Nevada,310390,257729,+20.43%,104.7,271.2 ,2798,1080,﻿36.0097°N 115.0357°W,36°00′35″N,115°02′09″W﻿,"https://en.wikipedia.org/wiki/Henderson,_Nevada",http://www.cityofhenderson.com
63,Saint Paul,Minnesota,307695,285068,+7.94%,52.0,134.7 ,5815,2245,﻿44.9489°N 93.1041°W,44°56′56″N,93°06′15″W﻿,"https://en.wikipedia.org/wiki/Saint_Paul,_Minnesota",http://www.stpaul.gov/
64,St. Louis,Missouri,302838,319294,−5.15%,62.0,160.6 ,5023,1939,﻿38.6357°N 90.2446°W,38°38′09″N,90°14′41″W﻿,https://en.wikipedia.org/wiki/St._Louis,http://stlouis-mo.gov
65,Cincinnati,Ohio,302605,296943,+1.91%,77.4,200.5 ,3860,1490,﻿39.1402°N 84.5058°W,39°08′25″N,84°30′21″W﻿,https://en.wikipedia.org/wiki/Cincinnati,http://cincinnati-oh.gov
66,Pittsburgh,Pennsylvania,301048,305704,−1.52%,55.4,143.5 ,5481,2116,﻿40.4398°N 79.9766°W,40°26′23″N,79°58′36″W﻿,https://en.wikipedia.org/wiki/Pittsburgh,http://www.pittsburghpa.gov/
67,Greensboro,North Carolina,294722,269666,+9.29%,128.3,332.3 ,2237,864,﻿36.0951°N 79.8270°W,36°05′42″N,79°49′37″W﻿,"https://en.wikipedia.org/wiki/Greensboro,_North_Carolina",http://www.greensboro-nc.gov
68,Anchorage,Alaska,291538,291826,−0.10%,1.0,"4,420.1 ",175,68,﻿61.1743°N 149.2843°W,61°10′27″N,149°17′03″W﻿,"https://en.wikipedia.org/wiki/Anchorage,_Alaska",http://www.muni.org/
69,Plano,Texas,288061,259841,+10.86%,71.7,185.7 ,3990,1540,﻿33.0508°N 96.7479°W,33°03′03″N,96°44′52″W﻿,"https://en.wikipedia.org/wiki/Plano,_Texas",https://www.plano.gov
70,Lincoln,Nebraska,287401,258379,+11.23%,92.1,238.5 ,3044,1175,﻿40.8105°N 96.6803°W,40°48′38″N,96°40′49″W﻿,"https://en.wikipedia.org/wiki/Lincoln,_Nebraska",http://www.lincoln.ne.gov/
